x,y,WeightedProbabiliticGoals,GoalProbability
30,74,0,0
30,76,0,0
30,78,0,0
30,80,0,0
32,0,0.0156373558355313,0.152
32,2,0.0330354129442568,0.156
32,4,0.0488483323899233,0.141
32,6,0.0509984087234065,0.108
32,8,0.0382746581941964,0.066
32,10,0.0213701098727906,0.032
32,12,0.00939882284943275,0.012
32,14,0.00344950080335634,0.004
32,16,0.00106662743819995,0.001
32,18,0.000264678894622086,0
32,20,0.0000472267869302609,0
32,22,0.00000658914861471352,0
32,24,0,0
32,26,0,0
32,28,0.0000000918250797239869,0
32,30,0.000000738671506025039,0
32,32,0.00000414268778645993,0
32,34,0.000059152205275677,0
32,36,0.000365643071581804,0.001
32,38,0.00176142356146537,0.004
32,40,0.00621364579237529,0.012
32,42,0.0155796762224604,0.026
32,44,0.0274319091997221,0.043
32,46,0.0337734199428713,0.052
32,48,0.0290758715924108,0.046
32,50,0.0176530301573292,0.028
32,52,0.00791680577188515,0.012
32,54,0.00320648353315178,0.005
32,56,0.00170063849949109,0.002
32,58,0.00109935024097908,0.002
32,60,0.000595520971796968,0.001
32,62,0.000239589452346211,0.001
32,64,0.0000598481604579026,0
32,66,0.00000960494205354448,0
32,68,0,0
